@RELATION music_speech
@ATTRIBUTE RMS NUMERIC
@ATTRIBUTE PAR NUMERIC
@ATTRIBUTE ZCR NUMERIC
@ATTRIBUTE MAD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.063511,8.149929,0.191660,0.031778,music
0.029709,7.320233,0.039395,0.012699,music
0.063148,6.948618,0.098263,0.035991,music
0.103644,3.870783,0.036048,0.072837,music
0.072274,4.592517,0.098647,0.045119,music
0.057604,10.355644,0.127905,0.026406,music
0.137553,7.272126,0.117197,0.072135,music
0.026658,4.841617,0.073287,0.013127,music
0.098874,6.541085,0.066525,0.056047,music
0.131374,7.178267,0.061028,0.074089,music
0.147011,5.117331,0.115193,0.071067,music
0.086969,5.260564,0.041274,0.051316,music
0.159349,6.191429,0.106614,0.086666,music
0.040917,6.627332,0.052605,0.018774,music
0.047292,6.266434,0.061932,0.027291,music
0.046492,6.408447,0.047708,0.019537,music
0.054657,10.246481,0.055341,0.022040,music
0.099617,7.899820,0.100835,0.052689,music
0.144513,6.298335,0.064647,0.092039,music
0.068809,6.237708,0.035976,0.036510,music
0.059789,7.442144,0.094671,0.033061,music
0.070745,8.839430,0.071288,0.031840,music
0.065969,10.049444,0.070100,0.034160,music
0.095492,8.171051,0.067557,0.041730,music
0.079901,7.053209,0.062296,0.040204,music
0.075618,9.623360,0.130567,0.037640,music
0.037852,4.254171,0.112067,0.023872,music
0.057852,7.866502,0.071847,0.034343,music
0.023314,10.393709,0.056540,0.007540,music
0.106508,6.980544,0.053873,0.066091,music
0.087515,6.252923,0.092395,0.049759,music
0.196155,5.099569,0.132631,0.130625,music
0.097993,6.775919,0.115043,0.049973,music
0.041757,5.560472,0.030201,0.022956,music
0.092889,4.835565,0.093869,0.059955,music
0.080705,8.795848,0.113414,0.039960,music
0.045882,5.056512,0.097471,0.028665,music
0.058602,5.775905,0.083330,0.030680,music
0.108451,5.816244,0.215110,0.071219,music
0.080120,8.588066,0.088126,0.044081,music
0.097537,6.622005,0.092702,0.060596,music
0.142741,7.007854,0.162108,0.067495,music
0.022836,6.683989,0.065769,0.010807,music
0.064992,4.960032,0.081141,0.034740,music
0.160720,6.197102,0.063999,0.078820,music
0.144106,6.712266,0.065016,0.073600,music
0.041798,6.183846,0.079858,0.024147,music
0.055694,11.608024,0.043249,0.017797,music
0.091622,5.568166,0.059290,0.048782,music
0.161993,4.498006,0.079908,0.106875,music
0.125904,7.303429,0.107123,0.071830,music
0.102328,9.333981,0.072720,0.051865,music
0.107847,9.275189,0.081708,0.048690,music
0.114588,5.225003,0.071203,0.069388,music
0.087067,9.037101,0.137373,0.050614,music
0.092571,8.261360,0.123687,0.055315,music
0.056618,3.981759,0.093973,0.037304,music
0.062725,4.471127,0.150591,0.040814,music
0.084844,8.665477,0.060253,0.046004,music
0.082674,8.353372,0.087947,0.047530,music
0.094003,7.207049,0.095857,0.060169,music
0.090503,7.037821,0.097979,0.048874,music
0.080026,6.029785,0.083423,0.047011,music
0.079094,9.804408,0.072588,0.031382,music
0.031843,11.302811,0.043220,0.006472,speech
0.056116,8.174094,0.073213,0.019385,speech
0.070150,11.916519,0.095116,0.033183,speech
0.038820,20.485096,0.152821,0.008517,speech
0.063264,15.811569,0.129875,0.014103,speech
0.026693,5.201295,0.081801,0.010501,speech
0.086769,4.743887,0.086451,0.022285,speech
0.088287,11.329868,0.082981,0.031626,speech
0.152317,6.567068,0.166569,0.012089,speech
0.111181,8.997066,0.154721,0.026925,speech
0.099299,10.073705,0.163563,0.027810,speech
0.027948,26.915393,0.150789,0.006777,speech
0.067964,14.717783,0.176085,0.018164,speech
0.054425,18.379113,0.151828,0.011661,speech
0.050325,3.898553,0.080667,0.023811,speech
0.116764,5.323986,0.115166,0.050736,speech
0.089697,4.256542,0.108569,0.046828,speech
0.024323,4.281067,0.114544,0.011173,speech
0.048404,20.665174,0.167068,0.008181,speech
0.018283,22.405497,0.156420,0.005342,speech
0.065048,4.668082,0.070614,0.022743,speech
0.035287,8.414845,0.085341,0.006930,speech
0.056645,5.860679,0.058259,0.012577,speech
0.051162,4.100953,0.107043,0.024757,speech
0.013355,4.144154,0.096596,0.006319,speech
0.064184,15.584442,0.102044,0.019842,speech
0.051956,5.282649,0.062271,0.017095,speech
0.052733,13.206320,0.153275,0.011905,speech
0.045619,18.238813,0.055281,0.022040,speech
0.035345,14.897699,0.122265,0.009311,speech
0.050129,4.190280,0.086649,0.019995,speech
0.034968,6.525686,0.048195,0.012455,speech
0.047783,17.044911,0.136646,0.010898,speech
0.035906,4.131939,0.123923,0.015874,speech
0.118880,8.414386,0.185736,0.020728,speech
0.092886,6.431958,0.066924,0.023842,speech
0.033325,19.499699,0.152978,0.006685,speech
0.055117,12.616850,0.149259,0.015843,speech
0.092246,3.700782,0.130671,0.047500,speech
0.036031,4.204820,0.118420,0.018530,speech
0.109240,4.189480,0.100008,0.050919,speech
0.023688,3.988626,0.092049,0.009921,speech
0.060673,8.554796,0.017379,0.005709,speech
0.090820,4.164596,0.078711,0.033824,speech
0.054524,12.686385,0.162776,0.015141,speech
0.057316,10.655950,0.149117,0.013279,speech
0.040869,24.475599,0.140135,0.018194,speech
0.069002,3.930790,0.093893,0.033763,speech
