@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE PAR_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE MAD_MEAN NUMERIC
@ATTRIBUTE MEAN_AD_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE PAR_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE MAD_STD NUMERIC
@ATTRIBUTE MEAN_AD_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.057464,3.234547,0.191595,0.037320,0.044621,0.027121,0.397827,0.036597,0.018322,0.021905,music
0.026591,2.590328,0.039416,0.016493,0.018983,0.013288,0.384978,0.015575,0.011147,0.012276,music
0.060026,3.274088,0.098235,0.039265,0.046795,0.019626,0.442527,0.020749,0.013611,0.015970,music
0.098899,2.285467,0.036062,0.075785,0.082849,0.031076,0.442622,0.043212,0.028963,0.027628,music
0.069765,2.910838,0.098689,0.047997,0.055683,0.018836,0.499438,0.063787,0.015619,0.016303,music
0.050368,3.409592,0.127820,0.033650,0.039868,0.028004,0.731429,0.041827,0.020071,0.022772,music
0.124989,3.252811,0.117169,0.082400,0.098784,0.057460,0.561363,0.054101,0.038463,0.045704,music
0.025573,2.671340,0.073377,0.014894,0.017446,0.007577,0.523202,0.047484,0.006837,0.007732,music
0.091523,2.883519,0.066588,0.062623,0.073054,0.037555,0.544916,0.037583,0.026901,0.030072,music
0.119794,2.692331,0.061057,0.086046,0.097651,0.054140,0.391179,0.015538,0.038693,0.044202,music
0.130539,2.977842,0.115189,0.088255,0.104076,0.067797,0.466793,0.037558,0.048942,0.055884,music
0.082189,2.805943,0.041259,0.056531,0.065746,0.028477,0.395872,0.019763,0.023503,0.024376,music
0.146967,3.152529,0.106537,0.097230,0.116456,0.061714,0.608467,0.066444,0.042782,0.049413,music
0.036586,2.755492,0.052586,0.023908,0.027489,0.018267,0.328939,0.021937,0.014766,0.016160,music
0.044448,2.775838,0.061887,0.030639,0.034823,0.016197,0.359866,0.031918,0.013238,0.014188,music
0.040529,2.586220,0.047729,0.026791,0.030867,0.022824,0.398126,0.030507,0.018226,0.020357,music
0.045297,2.752374,0.055289,0.029628,0.034794,0.030399,0.479331,0.041203,0.022237,0.025644,music
0.089827,2.906005,0.100845,0.059381,0.070566,0.043180,0.460111,0.058986,0.031425,0.035207,music
0.139321,2.849848,0.064621,0.097389,0.112643,0.038342,0.479252,0.022376,0.031362,0.032407,music
0.062266,2.576166,0.035991,0.043613,0.050268,0.029367,0.488798,0.029610,0.026273,0.026155,music
0.056021,3.081837,0.094702,0.036244,0.043430,0.020673,0.435952,0.036666,0.013904,0.016596,music
0.061077,2.897027,0.071356,0.041397,0.048044,0.035792,0.333989,0.028044,0.025784,0.029737,music
0.059795,2.842017,0.070002,0.040360,0.047226,0.027951,0.465264,0.055849,0.020950,0.023326,music
0.081108,2.831201,0.067571,0.054780,0.064500,0.050490,0.489006,0.050797,0.035450,0.041166,music
0.071300,2.948082,0.062281,0.048203,0.056717,0.036049,0.519806,0.035221,0.027227,0.030367,music
0.064770,3.054769,0.130596,0.045312,0.052160,0.039024,0.457459,0.047871,0.030966,0.032849,music
0.037115,2.903545,0.112083,0.024852,0.028402,0.007468,0.320579,0.036583,0.006275,0.006694,music
0.054425,2.775807,0.071918,0.036768,0.043110,0.019576,0.574878,0.037699,0.014300,0.016120,music
0.020390,2.399182,0.056604,0.010838,0.012675,0.011291,0.477610,0.038606,0.009732,0.011039,music
0.102660,3.130423,0.053822,0.069345,0.081798,0.028180,0.702723,0.027398,0.019685,0.022639,music
0.079858,2.897449,0.092437,0.057116,0.064496,0.035758,0.362824,0.034484,0.029445,0.030514,music
0.187165,2.850597,0.132638,0.138254,0.153900,0.058451,0.489145,0.053882,0.044900,0.047940,music
0.088811,3.089335,0.115076,0.058575,0.070113,0.041247,0.601739,0.079076,0.029728,0.033762,music
0.038574,2.494019,0.030199,0.027079,0.030073,0.016016,0.371898,0.007784,0.014796,0.014639,music
0.090760,2.929228,0.093867,0.061910,0.072625,0.019839,0.402559,0.051205,0.015150,0.016417,music
0.070167,3.029812,0.113335,0.050514,0.057064,0.039987,0.633063,0.072355,0.034000,0.034433,music
0.044631,2.992951,0.097470,0.029939,0.034698,0.010623,0.460874,0.040088,0.009122,0.009419,music
