@RELATION music_speech
@ATTRIBUTE RMS NUMERIC
@ATTRIBUTE PAR NUMERIC
@ATTRIBUTE ZCR NUMERIC
@ATTRIBUTE MAD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.063492,8.149929,0.191660,0.031769,music
0.029699,7.320233,0.039395,0.012695,music
0.063129,6.948618,0.098263,0.035980,music
0.103613,3.870783,0.036048,0.072815,music
0.072252,4.592517,0.098647,0.045105,music
0.057586,10.355644,0.127905,0.026398,music
0.137511,7.272126,0.117197,0.072113,music
0.026650,4.841617,0.073287,0.013123,music
0.098844,6.541085,0.066525,0.056030,music
0.131334,7.178267,0.061028,0.074066,music
0.146966,5.117331,0.115193,0.071045,music
0.086943,5.260564,0.041274,0.051300,music
0.159300,6.191429,0.106614,0.086639,music
0.040904,6.627332,0.052605,0.018768,music
0.047278,6.266434,0.061932,0.027283,music
0.046478,6.408447,0.047708,0.019531,music
0.054641,10.246481,0.055341,0.022034,music
0.099586,7.899820,0.100835,0.052673,music
0.144469,6.298335,0.064647,0.092010,music
0.068788,6.237708,0.035976,0.036499,music
0.059771,7.442144,0.094671,0.033051,music
0.070723,8.839430,0.071288,0.031830,music
0.065949,10.049444,0.070100,0.034149,music
0.095463,8.171051,0.067557,0.041718,music
0.079876,7.053209,0.062296,0.040192,music
0.075595,9.623360,0.130567,0.037628,music
0.037841,4.254171,0.112067,0.023865,music
0.057835,7.866502,0.071847,0.034332,music
0.023307,10.393709,0.056540,0.007538,music
0.106475,6.980544,0.053873,0.066071,music
0.087488,6.252923,0.092395,0.049744,music
0.196095,5.099569,0.132631,0.130585,music
0.097963,6.775919,0.115043,0.049957,music
0.041744,5.560472,0.030201,0.022949,music
0.092861,4.835565,0.093869,0.059937,music
0.080681,8.795848,0.113414,0.039948,music
0.045868,5.056512,0.097471,0.028656,music
0.058585,5.775905,0.083330,0.030670,music
0.108418,5.816244,0.215110,0.071198,music
0.080096,8.588066,0.088126,0.044067,music
0.097507,6.622005,0.092702,0.060577,music
0.142697,7.007854,0.162108,0.067474,music
0.022829,6.683989,0.065769,0.010803,music
0.064972,4.960032,0.081141,0.034729,music
0.160671,6.197102,0.063999,0.078796,music
0.144062,6.712266,0.065016,0.073578,music
0.041785,6.183846,0.079858,0.024139,music
0.055677,11.608024,0.043249,0.017792,music
0.091594,5.568166,0.059290,0.048767,music
